"source","facility_type","name","lat","lon","address"
"Public Services","emergency services","Warren Twp. Sta. 2",41.6360313790005,-86.3970284219997,"59330 Crumstown Hwy.
South Bend, Indiana 46619"
"Public Services","public library","St. Joseph Co. Public Library Francis Branch",41.7285409770005,-86.2170301549997,"52655 Ironwood Dr.
South Bend, Indiana 46635"
"Public Services","public library","St. Joseph Co. Public Library River Park Branch",41.6657208470005,-86.2166602729997,"2022 Mishawaka Av.
South Bend, Indiana 46615"
"Public Services","public library","Mishawaka Public Library Harris Branch",41.7470109110005,-86.1397200739997,"51446 Elm Rd
Granger, Indiana 46530"
"Public Services","emergency services","Lakeville Fire",41.5245043160004,-86.2765985729997,"117 N. Main
Lakeville, Indiana 46536"
"Public Services","emergency services","Osceola Twp. Fire",41.6644618250005,-86.0928669339997,"620 Rogers
Osceola, Indiana 46561"
"Public Services","emergency services","Harris Twp. Sta. 2",41.6150933350005,-86.7303996379997,"12481 Anderson
Granger, Indiana 46350"
"Public Services","emergency services","Clay Twp. Sta. 1",41.7233211380005,-86.2314809289996,"18776 Cleveland
South Bend, Indiana 46637"
"Public Services","emergency services","St. Joseph County Jail",41.6790505630005,-86.2540404609996,"701 W SAMPLE
South Bend, Indiana 46625"
"Public Services","emergency services","German Twp. Sta. 2",41.6971615880005,-86.3272693289997,"23747 Keller Road
South Bend, Indiana 46628"
"Public Services","emergency services","Clay Twp. Sta. 2",41.7453504720005,-86.2240901889996,"18355 Auten Road
South Bend, Indiana 46637"
"Public Services","public library","St. Joseph Co. Public Library Main Branch",41.6735435640005,-86.2518768989997,"304 S. Main St.
South Bend, Indiana 46601"
"Public Services","emergency services","South Bend Fire Dept. Station #11",41.7231896740005,-86.2920040459997,"3505 N. Bendix Dr.
South Bend, Indiana 46628"
"Public Services","public library","Mishawaka Public Library Bittersweet Branch",41.6700303830005,-86.1094910979996,"602 Bittersweet Rd.
Mishawaka, Indiana 46544"
"Public Services","emergency services","German Twp. Sta. 1",41.7402908010005,-86.2955708739997,"51775 Portage Road
South Bend, Indiana 46628"
"Public Services","public library","St. Joseph Co. Public Library German Township Branch",41.7239332010005,-86.2828226389997,"52807 Lynnewood Av
South Bend, Indiana 46628"
"Public Services","emergency services","Penn South Sta. 1",41.6223708320005,-86.1564108839997,"14940 Jackson Road
Mishawaka, Indiana 46544"
"Public Services","emergency services","South Bend Fire Dept. Station #3",41.6802207060005,-86.2207571369997,"1805 McKinley Ave.
South Bend, Indiana 46617"
"Public Services","emergency services","Mishawaka Fire Dept. Station #1",41.6558533770005,-86.1769238349997,"600 Union St.
Mishawaka, Indiana 46544"
"Public Services","emergency services","Mishawaka Fire Dept. Station #2",41.6811036600005,-86.1813756359996,"2332 N. Main St.
Mishawaka, Indiana 46544"
"Public Services","emergency services","Harris Twp. Sta. 1",41.7433741610005,-86.1393021889996,"13981 SR 23
Granger, Indiana 46350"
"Public Services","emergency services","South Bend Fire Dept.",41.6614532030005,-86.2499720789997,"1222 S. Michigan St.
South Bend, Indiana 46601"
